#title	credit	serviceUrl	yOriginTop	zmin	zmax	xmin	ymin	xmax	ymax
Space	© TileMapBox OSMcontributors	http://a.tiles.mapbox.com/v3/examples.3hqcl3di/{z}/{x}/{y}.png	1	0	19
StreetsNoir	© TileMapBox OSMcontributors	http://a.tiles.mapbox.com/v3/examples.map-cnkhv76j/{z}/{x}/{y}.png	1	0	19
